Date,Company,Open,Close,High,Low,Volume
2023-01-05,KOTAKBANK.BSE,1821.0000,1820.6000,1832.9500,1806.2000,23365
2023-01-04,KOTAKBANK.BSE,1836.5000,1820.8500,1836.5000,1814.1000,23394
2023-01-03,KOTAKBANK.BSE,1830.4500,1833.0000,1836.5000,1820.4500,67262
2023-01-02,KOTAKBANK.BSE,1820.2000,1825.8500,1832.5000,1817.0000,15570
2022-12-30,KOTAKBANK.BSE,1827.9500,1826.4500,1837.8500,1823.1500,40699
2022-12-29,KOTAKBANK.BSE,1820.0000,1818.2000,1820.9000,1801.0000,24037
2022-12-28,KOTAKBANK.BSE,1825.0000,1820.2500,1831.6500,1816.6500,13225
2022-12-27,KOTAKBANK.BSE,1834.1000,1820.5000,1834.1000,1807.5000,13779
2022-12-26,KOTAKBANK.BSE,1816.0500,1811.7000,1825.9000,1794.4000,33141
2022-12-23,KOTAKBANK.BSE,1818.0000,1819.8000,1839.0000,1813.0000,29165
2022-12-22,KOTAKBANK.BSE,1830.0000,1825.8000,1834.7000,1819.0500,25375
2022-12-21,KOTAKBANK.BSE,1864.9500,1814.4000,1864.9500,1808.1000,37738
2022-12-20,KOTAKBANK.BSE,1850.0000,1848.0500,1858.5000,1834.1000,24811
2022-12-19,KOTAKBANK.BSE,1835.0500,1858.6500,1863.1500,1835.0500,24027
2022-12-16,KOTAKBANK.BSE,1864.5000,1841.0500,1864.5000,1835.2500,41054
2022-12-15,KOTAKBANK.BSE,1882.8000,1864.5000,1882.8000,1854.0500,31324
2022-12-14,KOTAKBANK.BSE,1868.1000,1873.0500,1876.1000,1864.5000,48711
2022-12-13,KOTAKBANK.BSE,1867.0000,1868.5500,1872.0000,1857.7000,85713
2022-12-12,KOTAKBANK.BSE,1856.3000,1865.9000,1879.4000,1856.3000,24034
2022-12-09,KOTAKBANK.BSE,1908.0000,1887.4000,1916.2500,1879.4000,42400
2022-12-08,KOTAKBANK.BSE,1908.0000,1897.3000,1908.0000,1876.3000,137109
2022-12-07,KOTAKBANK.BSE,1937.9500,1911.1000,1937.9500,1906.6000,18999
2022-12-06,KOTAKBANK.BSE,1916.5500,1935.0500,1942.5000,1916.5500,15862
2022-12-05,KOTAKBANK.BSE,1940.0000,1938.4500,1941.6500,1920.0000,22406
2022-12-02,KOTAKBANK.BSE,1912.0500,1930.8500,1933.0000,1912.0500,16727
2022-12-01,KOTAKBANK.BSE,1951.0000,1934.1500,1961.0000,1928.6500,20718
2022-11-30,KOTAKBANK.BSE,1935.0000,1945.6000,1953.6000,1916.0000,39280
2022-11-29,KOTAKBANK.BSE,1928.1500,1925.9500,1937.9000,1923.0500,23685
2022-11-28,KOTAKBANK.BSE,1910.0500,1928.6000,1942.5000,1910.0500,29945
2022-11-25,KOTAKBANK.BSE,1950.0000,1928.4500,1950.0000,1919.3500,32837
2022-11-24,KOTAKBANK.BSE,1955.0000,1946.8500,1956.0000,1933.2000,29616
2022-11-23,KOTAKBANK.BSE,1952.9000,1953.4000,1961.0500,1947.2000,167767
2022-11-22,KOTAKBANK.BSE,1955.0000,1939.5500,1955.0000,1929.2000,12709
